idx,matchtype,partid,ppartid
0,0,n1,n0
1,0,n4,n1
2,1,n4voice_overlap,undefined
3,0,n3,n3
4,0,n2,n2
5,0,n6,n4
6,0,n6,n10
7,0,n5,n5
8,0,n8,n7
9,0,n7,n6
10,1,n11,undefined
11,0,n10,n9
12,0,n9,n8
13,0,n15,n12
14,1,n15voice_overlap,undefined
15,0,n14,n14
16,0,n13,n13
17,0,n12,n11
18,0,n17,n15
19,0,n16,n16
20,0,n18,n17
21,0,n20,n18
22,0,n19,n19
23,0,n22,n21
24,1,n22voice_overlap,undefined
25,0,n21,n20
26,0,n25,n24
27,0,n24,n23
28,0,n23,n22
29,0,n28,n27
30,0,n27,n26
31,0,n26,n25
32,0,n31,n30
33,0,n30,n29
34,0,n29,n28
35,0,n35,n32
36,1,n35voice_overlap,undefined
37,0,n34,n34
38,0,n33,n33
39,0,n32,n31
40,0,n37,n35
41,0,n36,n36
42,0,n38,n37
43,0,n40,n38
44,0,n39,n39
45,0,n42,n40
46,1,n42voice_overlap,undefined
47,0,n41,n41
48,0,n45,n43
49,0,n44,n44
50,0,n43,n42
51,0,n47,n46
52,0,n46,n45
53,0,n50,n49
54,0,n49,n48
55,0,n48,n47
56,0,n53voice_overlap,n52
57,1,n53,undefined
58,0,n52,n51
59,0,n51,n50
60,0,n55,n53
61,0,n54,n54
62,0,n56,n55
63,0,n59,n58
64,0,n58,n57
65,0,n57,n56
66,0,n62,n60
67,1,n62voice_overlap,undefined
68,0,n61,n61
69,0,n60,n59
70,0,n65,n64
71,0,n65,n69
72,0,n64,n63
73,0,n63,n62
74,0,n67,n66
75,0,n66,n65
76,1,n70,undefined
77,0,n69,n68
78,0,n68,n67
79,0,n74,n71
80,1,n74voice_overlap,undefined
81,0,n73,n73
82,0,n72,n72
83,0,n71,n70
84,0,n77,n75
85,0,n76,n76
86,0,n75,n74
87,0,n79,n78
88,0,n78,n77
89,0,n82,n79
90,0,n81,n81
91,0,n80,n80
92,0,n85,n82
93,1,n85voice_overlap,undefined
94,0,n84,n84
95,0,n83,n83
96,0,n89,n87
97,0,n88,n88
98,0,n87,n86
99,0,n86,n85
100,0,n92,n91
101,0,n91,n90
102,0,n90,n89
103,0,n96,n95
104,0,n95,n93
105,0,n94,n94
106,0,n93,n92
107,0,n99voice_overlap,n97
108,1,n99,undefined
109,0,n98,n98
110,0,n97,n96
111,0,n101,n99
112,0,n100,n100
113,0,n102,n101
114,0,n104,n103
115,0,n103,n102
116,0,n107voice_overlap,n105
117,1,n107,undefined
118,0,n106,n106
119,0,n105,n104
120,0,n110,n108
121,0,n109,n109
122,0,n108,n107
123,0,n112,n111
124,0,n111,n110
125,0,n115,n113
126,0,n114,n114
127,0,n113,n112
128,0,n118voice_overlap,n117
129,0,n118,n126
130,0,n117,n116
131,0,n116,n115
132,0,n121,n119
133,0,n121,n124
134,0,n120,n120
135,0,n119,n118
136,0,n123,n122
137,0,n122,n121
138,1,n126,undefined
139,0,n125,n125
140,0,n124,n123
141,1,n129voice_overlap,undefined
142,1,n129,undefined
143,0,n128,n128
144,0,n127,n127
145,0,n131,n129
146,0,n131,n134
147,0,n130,n130
148,0,n133,n132
149,0,n132,n131
150,0,n132,n142
151,0,n135,n137
152,0,n134,n133
153,0,n134,n138
154,0,n137,n136
155,1,n137voice_overlap,undefined
156,0,n136,n135
157,0,n136,n139
158,0,n139,n143
159,0,n138,n144
160,1,n142,undefined
161,0,n141,n141
162,0,n140,n140
163,0,n145,n148
164,0,n144,n147
165,0,n143,n152
166,0,n147voice_overlap,n145
167,1,n147,undefined
168,0,n146,n146
169,0,n146,n149
170,0,n149,n154
171,0,n148,n153
172,1,n152,undefined
173,0,n151,n151
174,0,n150,n150
175,0,n155,n160
176,1,n154,undefined
177,1,n153,undefined
178,0,n159,n157
179,1,n159voice_overlap,undefined
180,0,n158,n161
181,1,n157,undefined
182,0,n156,n155
183,0,n161,n163
184,0,n160,n159
185,0,n160,n162
186,1,n162,undefined
187,1,n164,undefined
188,1,n163,undefined
189,0,n168voice_overlap,n164
190,1,n168,undefined
191,0,n167,n166
192,0,n166,n167
193,0,n165,n165
194,0,n170,n168
195,0,n170,n173
196,0,n169,n169
197,0,n172,n171
198,0,n171,n170
