onset_sec,duration_sec,pitch,velocity,track,channel,id
0.79270834,0.6145833,64,60,0,1,1
0.84791666,0.5395833,67,74,0,1,2
0.921875,0.060416665,48,65,0,1,3
0.92291665,0.49166667,72,85,0,1,4
1.0708333,0.16041666,60,67,0,1,5
1.1989583,0.05,59,63,0,1,6
1.3291667,0.051041666,60,56,0,1,7
1.4583334,0.21979167,48,62,0,1,8
1.75625,0.048958335,72,56,0,1,9
1.871875,0.061458334,71,61,0,1,10
1.9875,0.115625,74,72,0,1,11
2.1041667,0.08229167,72,72,0,1,12
2.2197917,0.060416665,76,75,0,1,13
2.3322916,0.12083333,74,76,0,1,14
2.4447916,0.104166664,77,82,0,1,15
2.559375,0.11145833,76,79,0,1,16
2.6770833,0.14270833,79,72,0,1,17
2.759375,0.123958334,77,73,0,1,18
2.8947916,0.07395833,69,73,0,1,19
2.9333334,0.35416666,74,75,0,1,20
3.021875,0.35625,41,44,0,1,21
3.0239584,0.27291667,77,72,0,1,22
3.0385416,0.28333333,53,35,0,1,23
3.04375,0.40833333,81,67,0,1,24
3.56875,0.128125,79,61,0,1,25
3.7,0.071875,77,54,0,1,26
3.8114583,0.046875,76,63,0,1,27
3.921875,0.059375,74,67,0,1,28
4.032292,0.038541667,72,62,0,1,29
4.09375,0.07604167,74,65,0,1,30
4.1739583,0.045833334,72,66,0,1,31
4.24375,0.040625,71,58,0,1,32
4.3145833,0.045833334,52,60,0,1,33
4.3375,0.1375,72,72,0,1,34
4.459375,0.10625,76,73,0,1,35
4.5875,0.121875,74,72,0,1,36
4.5958333,0.0375,53,53,0,1,37
4.7166667,0.11145833,77,70,0,1,38
4.835417,0.045833334,55,43,0,1,39
4.840625,0.084375,71,65,0,1,40
4.945833,0.045833334,74,72,0,1,41
5.1135416,0.44895834,64,79,0,1,42
5.1302085,0.051041666,48,65,0,1,43
5.1604166,0.390625,67,71,0,1,44
5.210417,0.36875,72,84,0,1,45
5.278125,0.054166667,60,70,0,1,46
5.40625,0.04375,59,76,0,1,47
5.525,0.040625,60,70,0,1,48
5.647917,0.17083333,48,68,0,1,49
5.715625,0.103125,47,12,0,1,50
5.9479165,0.06875,72,67,0,1,51
6.0625,0.0875,71,70,0,1,52
6.1833334,0.11875,74,76,0,1,53
6.3,0.1,72,78,0,1,54
6.414583,0.052083332,76,76,0,1,55
6.528125,0.11354167,74,83,0,1,56
6.646875,0.09375,77,82,0,1,57
6.7458334,0.12708333,76,82,0,1,58
6.8708334,0.094791666,79,77,0,1,59
6.9572916,0.12604167,77,73,0,1,60
7.0979166,0.078125,69,69,0,1,61
