idx,matchtype,partid,ppartid
0,0,n3,3
1,0,n1,1
2,0,n2,2
3,0,n4,4
4,0,n5,5
5,0,n6,6
6,0,n7,7
7,0,n8,8
8,0,n9,9
9,0,n10,10
10,0,n11,11
11,0,n12,12
12,0,n13,13
13,0,n14,14
14,0,n15,15
15,0,n16,16
16,0,n17,17
17,0,n18,18
18,0,n21,21
19,0,n23,23
20,0,n19,19
21,0,n20,20
22,0,n22,22
23,0,n24,24
24,0,n25,25
25,0,n26,26
26,0,n27,27
27,0,n28,28
28,0,n28,30
29,0,n29,29
30,0,n29,31
31,0,n29,34
32,0,n32,32
33,0,n33,33
34,1,n34,undefined
35,0,n35,35
36,0,n37,37
37,0,n36,36
38,0,n38,38
39,0,n39,39
40,0,n40,40
41,0,n41,41
42,0,n43,43
43,0,n42,42
44,0,n44,44
45,0,n45,45
46,0,n46,46
47,0,n47,47
48,0,n48,48
49,0,n49,49
50,0,n51,51
51,0,n52,52
52,0,n53,53
53,0,n54,54
54,0,n55,55
55,0,n56,56
56,0,n57,57
57,0,n58,58
58,0,n59,59
59,0,n60,60
60,0,n60,63
61,0,n65,65
62,0,n66,66
63,1,n61,undefined
64,0,n62,62
65,1,n63,undefined
66,0,n64,64
67,0,n67,67
68,0,n68,68
69,0,n69,69
70,0,n70,70
71,0,n70,72
72,0,n71,71
73,0,n71,73
74,0,n74,74
75,0,n76,76
76,0,n75,75
77,0,n77,77
78,0,n79,79
79,0,n78,78
80,0,n80,80
81,0,n82,82
82,0,n81,81
83,0,n83,83
84,0,n84,84
85,0,n85,85
86,0,n86,86
87,0,n87,87
88,0,n89,89
89,0,n88,88
90,0,n90,90
91,1,n91,undefined
92,1,n93,undefined
93,0,n92,92
94,1,n94,undefined
95,0,n96,96
96,0,n95,95
97,0,n97,94
98,0,n97,97
99,0,n99,99
100,0,n98,98
101,0,n100,100
102,0,n101,101
103,0,n102,102
104,0,n104,104
105,0,n103,103
106,0,n105,105
107,0,n106,106
108,0,n107,107
109,1,n108,undefined
110,0,n109,109
111,0,n111,111
112,0,n112,112
113,0,n110,110
114,0,n114,114
115,0,n113,113
116,0,n116,116
117,0,n115,115
118,0,n117,117
119,0,n119,119
120,0,n118,118
121,0,n120,120
122,0,n122,122
123,0,n121,121
124,0,n123,123
125,0,n124,124
126,0,n125,125
127,0,n127,127
128,0,n126,126
129,0,n128,128
130,0,n129,129
131,0,n130,130
132,0,n131,131
133,0,n132,132
134,0,n134,134
135,0,n135,133
136,0,n135,135
137,0,n135,138
138,0,n136,136
139,0,n139,139
140,0,n140,140
141,0,n141,141
142,0,n142,142
143,0,n143,143
144,0,n144,144
145,0,n146,146
146,0,n145,145
147,0,n147,147
148,0,n148,148
149,0,n149,149
150,0,n151,151
151,0,n150,150
152,0,n152,152
153,0,n153,153
154,0,n154,154
155,0,n156,156
156,0,n155,155
157,0,n157,157
158,0,n159,159
159,0,n158,158
160,0,n160,160
161,0,n161,161
162,0,n163,163
163,0,n162,162
164,0,n165,165
165,0,n164,164
166,0,n167,167
167,0,n166,166
168,0,n169,169
169,0,n168,168
170,0,n171,171
171,0,n170,170
172,0,n172,172
173,0,n173,173
174,0,n174,174
175,0,n176,176
176,0,n175,175
177,0,n177,177
178,0,n178,178
179,0,n179,179
180,0,n180,180
181,0,n181,181
182,0,n182,182
183,0,n183,183
184,0,n184,184
185,0,n185,185
186,0,n186,186
187,0,n187,187
188,0,n188,188
189,0,n189,189
190,0,n190,190
191,0,n191,191
192,0,n192,192
193,0,n193,193
194,0,n194,194
195,0,n195,195
196,0,n195,196
197,1,n196,undefined
198,0,n197,197
199,0,n199,199
200,0,n198,198
201,0,n200,200
202,0,n201,201
203,0,n201,203
204,0,n204,204
205,0,n204,207
206,0,n202,202
207,1,n203,undefined
208,0,n205,205
209,1,n207,undefined
210,0,n208,208
211,0,n208,211
212,0,n206,206
213,0,n209,209
214,0,n209,210
215,0,n212,212
216,1,n211,undefined
217,1,n210,undefined
218,0,n215,215
219,0,n214,214
220,0,n213,213
221,0,n216,216
222,0,n217,217
223,0,n218,218
224,0,n219,219
225,0,n220,220
226,0,n221,221
227,0,n222,222
228,0,n223,223
229,0,n224,224
230,0,n225,225
231,0,n226,226
232,0,n227,227
233,0,n228,228
234,0,n229,229
235,0,n230,230
236,0,n231,231
237,0,n231,232
238,1,n232,undefined
239,0,n233,233
240,0,n236,236
241,0,n236,240
242,0,n235,235
243,0,n234,234
244,0,n237,237
245,0,n237,238
246,0,n240,243
247,0,n239,239
248,1,n238,undefined
249,0,n241,241
250,1,n243,undefined
251,0,n244,244
252,0,n242,242
253,0,n245,245
254,0,n247,247
255,0,n247,249
256,0,n246,246
257,0,n248,248
258,1,n249,undefined
259,0,n250,250
260,0,n251,251
261,0,n253,253
262,0,n255,255
263,0,n254,254
264,0,n252,252
265,0,n256,256
266,0,n257,257
267,0,n258,258
268,0,n259,259
269,0,n261,261
270,0,n261,263
271,0,n260,260
272,0,n262,262
273,1,n263,undefined
274,0,n265,265
275,0,n264,264
276,0,n264,267
277,0,n264,269
278,0,n270,270
279,0,n272,272
280,0,n271,271
281,0,n273,273
282,0,n274,274
283,0,n275,275
284,0,n277,277
285,0,n279,279
286,0,n278,278
287,0,n276,276
288,0,n280,280
289,0,n280,281
290,0,n282,282
291,0,n283,283
292,0,n284,284
